"","Canton","TotalPopulation","CantonAbbreviation","KANTONSNUM"
"1","Vaud",830431,"VD",22
"2","Valais",357282,"VS",23
"3","Geneva",514114,"GE",25
"4","Bern",1051437,"BE",2
"5","Fribourg",334465,"FR",10
"6","Solothurn",282408,"SO",11
"7","Neuchâtel",176571,"NE",24
"8","Jura",73865,"JU",26
"9","Basel-Stadt",196786,"BS",12
"10","Basel-Landschaft",294417,"BL",13
"11","Aargau",711232,"AG",19
"12","Zurich",1579967,"ZH",1
"13","Glarus",41471,"GL",8
"14","Schaffhausen",85214,"SH",14
"15","Appenzell A. Rh.",55759,"AR",15
"16","Appenzell I. Rh.",16416,"AI",16
"17","St. Gallen",525967,"SG",17
"18","Graubünden",202538,"GR",18
"19","Thurgau",289650,"TG",20
"20","Lucerne",424851,"LU",3
"21","Uri",37317,"UR",4
"22","Schwyz",164920,"SZ",5
"23","Obwalden",38700,"OW",6
"24","Nidwalden",44420,"NW",7
"25","Zug",131164,"ZG",9
"26","Ticino",354023,"TI",21
