"","Location","VehicleType","Fuel","Count","Date"
"1","Switzerland","Passenger car","Petrol",14780,2012-02-01
"2","Switzerland","Passenger car","Diesel",9266,2012-02-01
"3","Switzerland","Passenger car","Conventional hybrid",292,2012-02-01
"4","Switzerland","Passenger car","Plug-in hybrid",17,2012-02-01
"5","Switzerland","Passenger car","Conventional hybrid",11,2012-02-01
"6","Switzerland","Passenger car","Plug-in hybrid",1,2012-02-01
"7","Switzerland","Passenger car","Electricity",25,2012-02-01
"8","Switzerland","Passenger car","Petrol",21339,2012-03-01
"9","Switzerland","Passenger car","Diesel",11787,2012-03-01
"10","Switzerland","Passenger car","Conventional hybrid",529,2012-03-01
"11","Switzerland","Passenger car","Plug-in hybrid",22,2012-03-01
"12","Switzerland","Passenger car","Conventional hybrid",79,2012-03-01
"13","Switzerland","Passenger car","Plug-in hybrid",1,2012-03-01
"14","Switzerland","Passenger car","Electricity",90,2012-03-01
"15","Switzerland","Passenger car","Petrol",18173,2012-04-01
"16","Switzerland","Passenger car","Diesel",10414,2012-04-01
"17","Switzerland","Passenger car","Conventional hybrid",499,2012-04-01
"18","Switzerland","Passenger car","Plug-in hybrid",14,2012-04-01
"19","Switzerland","Passenger car","Conventional hybrid",69,2012-04-01
"20","Switzerland","Passenger car","Plug-in hybrid",2,2012-04-01
"21","Switzerland","Passenger car","Electricity",114,2012-04-01
"22","Switzerland","Passenger car","Petrol",18230,2012-05-01
"23","Switzerland","Passenger car","Diesel",11173,2012-05-01
"24","Switzerland","Passenger car","Conventional hybrid",411,2012-05-01
"25","Switzerland","Passenger car","Plug-in hybrid",12,2012-05-01
"26","Switzerland","Passenger car","Conventional hybrid",99,2012-05-01
"27","Switzerland","Passenger car","Plug-in hybrid",3,2012-05-01
"28","Switzerland","Passenger car","Electricity",92,2012-05-01
"29","Switzerland","Passenger car","Petrol",25504,2012-06-01
"30","Switzerland","Passenger car","Diesel",14530,2012-06-01
"31","Switzerland","Passenger car","Conventional hybrid",613,2012-06-01
