"","Date","Fuel","Count"
"1",2012-01-01,"Diesel",2.92264555264002
"2",2012-01-01,"Petrol",-1.17274116799464
"3",2012-01-01,"Conventional hybrid",-0.22011684706854
"4",2012-01-01,"Plug-in hybrid",-0.193674262680971
"5",2012-01-01,"Electricity",-0.222045162731722
"6",2013-01-01,"Diesel",2.0557039371251
"7",2013-01-01,"Petrol",-1.57798660895895
"8",2013-01-01,"Conventional hybrid",-0.164143139159919
"9",2013-01-01,"Plug-in hybrid",-0.206845022493645
"10",2013-01-01,"Electricity",-0.213022100760608
"11",2014-01-01,"Diesel",1.66430436858511
"12",2014-01-01,"Petrol",-0.942228615729911
"13",2014-01-01,"Conventional hybrid",-0.0926256708216689
"14",2014-01-01,"Plug-in hybrid",-0.217598313193987
"15",2014-01-01,"Electricity",-0.20707140756102
"16",2015-01-01,"Diesel",1.57283267359389
"17",2015-01-01,"Petrol",-0.33780474137995
"18",2015-01-01,"Conventional hybrid",-0.100258081664618
"19",2015-01-01,"Plug-in hybrid",-0.216114682484578
"20",2015-01-01,"Electricity",-0.205211815936149
"21",2016-01-01,"Diesel",0.798187441529913
"22",2016-01-01,"Petrol",0.326752666491659
"23",2016-01-01,"Conventional hybrid",-0.0718710112519116
"24",2016-01-01,"Plug-in hybrid",-0.209395897092109
"25",2016-01-01,"Electricity",-0.175753459043897
"26",2017-01-01,"Diesel",0.123143553930226
"27",2017-01-01,"Petrol",0.71363261886512
"28",2017-01-01,"Conventional hybrid",-0.0517227402554818
"29",2017-01-01,"Plug-in hybrid",-0.211465703422401
"30",2017-01-01,"Electricity",-0.167967429762372
"31",2018-01-01,"Diesel",-0.766751890380386
"32",2018-01-01,"Petrol",1.33003064624306
"33",2018-01-01,"Conventional hybrid",0.0280133145466012
"34",2018-01-01,"Plug-in hybrid",-0.202422428498843
"35",2018-01-01,"Electricity",-0.164664633332981
"36",2019-01-01,"Diesel",-2.25325688162601
"37",2019-01-01,"Petrol",1.52988014964986
"38",2019-01-01,"Conventional hybrid",0.0879972722201616
"39",2019-01-01,"Plug-in hybrid",-0.196500033432677
"40",2019-01-01,"Electricity",-0.166451458329053
"41",2020-01-01,"Diesel",-2.25223410623233
"42",2020-01-01,"Petrol",1.5913194398994
"43",2020-01-01,"Conventional hybrid",0.0870674764077261
"44",2020-01-01,"Plug-in hybrid",-0.192958724164444
"45",2020-01-01,"Electricity",-0.126700666052188
"46",2021-01-01,"Diesel",-2.11150344613448
"47",2021-01-01,"Petrol",1.13218626771872
"48",2021-01-01,"Conventional hybrid",0.279005630227849
"49",2021-01-01,"Plug-in hybrid",-0.103419387426899
"50",2021-01-01,"Electricity",0.0489013796024906
"51",2022-01-01,"Diesel",-2.20759986464494
"52",2022-01-01,"Petrol",0.661264901672554
"53",2022-01-01,"Conventional hybrid",0.672082873820717
"54",2022-01-01,"Plug-in hybrid",0.0296586488755632
"55",2022-01-01,"Electricity",0.267516588058536
