Catégorie : Toutes catégories

Mois,Voiture électrique: (Suisse)
2004-01,3
2004-02,0
2004-03,12
2004-04,0
2004-05,6
2004-06,4
2004-07,4
2004-08,0
2004-09,8
2004-10,6
2004-11,13
2004-12,8
2005-01,16
2005-02,5
2005-03,5
2005-04,4
2005-05,7
2005-06,10
2005-07,5
2005-08,5
2005-09,14
2005-10,9
2005-11,6
2005-12,4
2006-01,0
2006-02,12
2006-03,10
2006-04,6
2006-05,10
2006-06,6
2006-07,9
2006-08,3
2006-09,10
2006-10,3
2006-11,6
2006-12,6
2007-01,5
2007-02,12
2007-03,10
2007-04,9
2007-05,9
2007-06,5
2007-07,5
2007-08,6
2007-09,8
2007-10,6
2007-11,9
2007-12,6
2008-01,7
2008-02,10
2008-03,11
2008-04,10
2008-05,16
2008-06,18
2008-07,18
2008-08,16
2008-09,19
2008-10,12
2008-11,13
2008-12,8
2009-01,8
2009-02,10
2009-03,10
2009-04,12
2009-05,9
2009-06,8
2009-07,11
2009-08,12
2009-09,9
2009-10,8
2009-11,13
2009-12,13
2010-01,14
2010-02,12
2010-03,14
2010-04,11
2010-05,11
2010-06,12
2010-07,8
2010-08,12
2010-09,10
2010-10,14
2010-11,12
2010-12,9
2011-01,12
2011-02,10
2011-03,16
2011-04,10
2011-05,12
2011-06,9
2011-07,10
2011-08,8
2011-09,12
2011-10,11
2011-11,11
2011-12,9
2012-01,11
2012-02,10
2012-03,14
2012-04,14
2012-05,14
2012-06,15
2012-07,13
2012-08,11
2012-09,13
2012-10,12
2012-11,12
2012-12,12
2013-01,11
2013-02,11
2013-03,13
2013-04,10
2013-05,12
2013-06,9
2013-07,15
2013-08,16
2013-09,16
2013-10,16
2013-11,17
2013-12,15
2014-01,13
2014-02,12
2014-03,16
2014-04,14
2014-05,13
2014-06,16
2014-07,14
2014-08,17
2014-09,18
2014-10,17
2014-11,17
2014-12,13
2015-01,14
2015-02,18
2015-03,20
2015-04,18
2015-05,18
2015-06,18
2015-07,17
2015-08,18
2015-09,21
2015-10,19
2015-11,22
2015-12,21
2016-01,16
2016-02,18
2016-03,18
2016-04,23
2016-05,18
2016-06,18
2016-07,16
2016-08,20
2016-09,22
2016-10,24
2016-11,23
2016-12,24
2017-01,22
2017-02,25
2017-03,28
2017-04,25
2017-05,25
2017-06,26
2017-07,34
2017-08,32
2017-09,32
2017-10,33
2017-11,33
2017-12,27
2018-01,27
2018-02,32
2018-03,38
2018-04,28
2018-05,30
2018-06,32
2018-07,25
2018-08,31
2018-09,35
2018-10,39
2018-11,38
2018-12,40
2019-01,40
2019-02,39
2019-03,41
2019-04,43
2019-05,42
2019-06,36
2019-07,37
2019-08,41
2019-09,49
2019-10,48
2019-11,58
2019-12,53
2020-01,55
2020-02,55
2020-03,32
2020-04,30
2020-05,42
2020-06,47
2020-07,48
2020-08,46
2020-09,50
2020-10,52
2020-11,52
2020-12,51
2021-01,61
2021-02,66
2021-03,68
2021-04,71
2021-05,72
2021-06,67
2021-07,76
2021-08,80
2021-09,80
2021-10,84
2021-11,83
2021-12,71
2022-01,80
2022-02,73
2022-03,100
2022-04,86
2022-05,71
2022-06,88
2022-07,78
2022-08,76
2022-09,65
2022-10,63
2022-11,68
2022-12,63
2023-01,67
2023-02,62
2023-03,66
2023-04,71
2023-05,67
2023-06,59
2023-07,72
2023-08,72
2023-09,78
2023-10,79
