Category: All categories

Month,EV: (Switzerland)
2005-01,58
2005-02,49
2005-03,43
2005-04,32
2005-05,43
2005-06,25
2005-07,31
2005-08,17
2005-09,30
2005-10,50
2005-11,41
2005-12,42
2006-01,25
2006-02,36
2006-03,38
2006-04,30
2006-05,27
2006-06,28
2006-07,42
2006-08,16
2006-09,33
2006-10,37
2006-11,27
2006-12,18
2007-01,41
2007-02,37
2007-03,40
2007-04,28
2007-05,33
2007-06,38
2007-07,34
2007-08,33
2007-09,38
2007-10,29
2007-11,35
2007-12,30
2008-01,30
2008-02,32
2008-03,38
2008-04,30
2008-05,25
2008-06,30
2008-07,32
2008-08,40
2008-09,36
2008-10,42
2008-11,39
2008-12,43
2009-01,51
2009-02,49
2009-03,55
2009-04,29
2009-05,40
2009-06,31
2009-07,32
2009-08,33
2009-09,36
2009-10,40
2009-11,37
2009-12,33
2010-01,53
2010-02,34
2010-03,45
2010-04,32
2010-05,32
2010-06,29
2010-07,38
2010-08,45
2010-09,42
2010-10,43
2010-11,43
2010-12,37
2011-01,41
2011-02,34
2011-03,40
2011-04,30
2011-05,33
2011-06,32
2011-07,35
2011-08,42
2011-09,48
2011-10,59
2011-11,44
2011-12,44
2012-01,41
2012-02,39
2012-03,54
2012-04,43
2012-05,41
2012-06,35
2012-07,35
2012-08,36
2012-09,45
2012-10,52
2012-11,49
2012-12,46
2013-01,45
2013-02,39
2013-03,55
2013-04,43
2013-05,38
2013-06,38
2013-07,34
2013-08,41
2013-09,48
2013-10,49
2013-11,47
2013-12,43
2014-01,49
2014-02,42
2014-03,47
2014-04,56
2014-05,50
2014-06,46
2014-07,46
2014-08,47
2014-09,51
2014-10,49
2014-11,44
2014-12,51
2015-01,55
2015-02,59
2015-03,67
2015-04,63
2015-05,38
2015-06,42
2015-07,37
2015-08,42
2015-09,46
2015-10,47
2015-11,38
2015-12,40
2016-01,48
2016-02,47
2016-03,41
2016-04,41
2016-05,38
2016-06,37
2016-07,41
2016-08,44
2016-09,51
2016-10,51
2016-11,47
2016-12,45
2017-01,49
2017-02,42
2017-03,52
2017-04,59
2017-05,39
2017-06,36
2017-07,42
2017-08,45
2017-09,49
2017-10,47
2017-11,46
2017-12,39
2018-01,43
2018-02,45
2018-03,51
2018-04,44
2018-05,42
2018-06,45
2018-07,37
2018-08,54
2018-09,57
2018-10,50
2018-11,53
2018-12,52
2019-01,51
2019-02,56
2019-03,62
2019-04,66
2019-05,37
2019-06,48
2019-07,40
2019-08,51
2019-09,58
2019-10,54
2019-11,52
2019-12,55
2020-01,60
2020-02,59
2020-03,50
2020-04,47
2020-05,43
2020-06,54
2020-07,52
2020-08,49
2020-09,51
2020-10,60
2020-11,56
2020-12,55
2021-01,60
2021-02,61
2021-03,55
2021-04,72
2021-05,69
2021-06,47
2021-07,48
2021-08,55
2021-09,51
2021-10,58
2021-11,63
2021-12,57
2022-01,59
2022-02,65
2022-03,67
2022-04,100
2022-05,71
2022-06,65
2022-07,66
2022-08,66
2022-09,65
2022-10,61
2022-11,64
2022-12,62
