Category: All categories

Month,auto elettrica: (Switzerland)
2005-01,0
2005-02,0
2005-03,100
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,43
2005-12,35
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,97
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,22
2007-05,0
2007-06,0
2007-07,51
2007-08,17
2007-09,25
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,22
2008-05,46
2008-06,0
2008-07,0
2008-08,29
2008-09,0
2008-10,0
2008-11,0
2008-12,13
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,31
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,50
2010-01,0
2010-02,0
2010-03,0
2010-04,12
2010-05,0
2010-06,26
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,7
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,12
2011-10,0
2011-11,6
2011-12,6
2012-01,0
2012-02,8
2012-03,12
2012-04,0
2012-05,11
2012-06,0
2012-07,0
2012-08,9
2012-09,11
2012-10,0
2012-11,5
2012-12,7
2013-01,5
2013-02,17
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,5
2013-08,0
2013-09,0
2013-10,10
2013-11,7
2013-12,18
2014-01,0
2014-02,0
2014-03,9
2014-04,14
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,5
2014-12,0
2015-01,0
2015-02,23
2015-03,7
2015-04,12
2015-05,6
2015-06,32
2015-07,0
2015-08,5
2015-09,0
2015-10,11
2015-11,8
2015-12,17
2016-01,6
2016-02,10
2016-03,0
2016-04,0
2016-05,5
2016-06,8
2016-07,0
2016-08,29
2016-09,23
2016-10,0
2016-11,7
2016-12,11
2017-01,11
2017-02,11
2017-03,7
2017-04,7
2017-05,0
2017-06,4
2017-07,6
2017-08,14
2017-09,6
2017-10,0
2017-11,22
2017-12,9
2018-01,14
2018-02,12
2018-03,10
2018-04,5
2018-05,5
2018-06,11
2018-07,9
2018-08,17
2018-09,26
2018-10,7
2018-11,0
2018-12,9
2019-01,18
2019-02,16
2019-03,10
2019-04,13
2019-05,12
2019-06,13
2019-07,0
2019-08,13
2019-09,24
2019-10,20
2019-11,20
2019-12,16
2020-01,22
2020-02,25
2020-03,8
2020-04,19
2020-05,18
2020-06,24
2020-07,5
2020-08,11
2020-09,15
2020-10,22
2020-11,27
2020-12,22
2021-01,28
2021-02,25
2021-03,20
2021-04,29
2021-05,28
2021-06,32
2021-07,31
2021-08,25
2021-09,28
2021-10,30
2021-11,33
2021-12,23
2022-01,44
2022-02,22
2022-03,47
2022-04,38
2022-05,42
2022-06,33
2022-07,34
2022-08,33
2022-09,17
2022-10,28
2022-11,30
2022-12,22
