Category: All categories

Month,elektroauto: (Switzerland)
2005-01,34
2005-02,0
2005-03,0
2005-04,13
2005-05,0
2005-06,8
2005-07,0
2005-08,0
2005-09,14
2005-10,0
2005-11,22
2005-12,0
2006-01,0
2006-02,6
2006-03,12
2006-04,0
2006-05,0
2006-06,6
2006-07,5
2006-08,0
2006-09,0
2006-10,0
2006-11,5
2006-12,7
2007-01,0
2007-02,0
2007-03,8
2007-04,9
2007-05,7
2007-06,5
2007-07,13
2007-08,3
2007-09,5
2007-10,11
2007-11,8
2007-12,6
2008-01,3
2008-02,10
2008-03,13
2008-04,12
2008-05,10
2008-06,19
2008-07,18
2008-08,14
2008-09,11
2008-10,7
2008-11,12
2008-12,4
2009-01,7
2009-02,12
2009-03,12
2009-04,4
2009-05,15
2009-06,6
2009-07,7
2009-08,13
2009-09,5
2009-10,10
2009-11,17
2009-12,19
2010-01,16
2010-02,18
2010-03,23
2010-04,14
2010-05,14
2010-06,18
2010-07,13
2010-08,15
2010-09,12
2010-10,16
2010-11,16
2010-12,9
2011-01,16
2011-02,13
2011-03,19
2011-04,9
2011-05,10
2011-06,11
2011-07,15
2011-08,12
2011-09,16
2011-10,15
2011-11,14
2011-12,14
2012-01,8
2012-02,12
2012-03,19
2012-04,23
2012-05,12
2012-06,20
2012-07,14
2012-08,12
2012-09,16
2012-10,15
2012-11,17
2012-12,12
2013-01,12
2013-02,15
2013-03,15
2013-04,15
2013-05,14
2013-06,14
2013-07,19
2013-08,23
2013-09,23
2013-10,21
2013-11,25
2013-12,19
2014-01,21
2014-02,11
2014-03,22
2014-04,17
2014-05,18
2014-06,22
2014-07,16
2014-08,22
2014-09,21
2014-10,23
2014-11,24
2014-12,16
2015-01,20
2015-02,19
2015-03,24
2015-04,23
2015-05,23
2015-06,23
2015-07,22
2015-08,23
2015-09,28
2015-10,24
2015-11,24
2015-12,25
2016-01,22
2016-02,24
2016-03,22
2016-04,30
2016-05,24
2016-06,24
2016-07,15
2016-08,22
2016-09,29
2016-10,36
2016-11,26
2016-12,31
2017-01,26
2017-02,31
2017-03,34
2017-04,33
2017-05,32
2017-06,33
2017-07,43
2017-08,46
2017-09,43
2017-10,38
2017-11,43
2017-12,28
2018-01,36
2018-02,38
2018-03,46
2018-04,35
2018-05,38
2018-06,36
2018-07,30
2018-08,37
2018-09,49
2018-10,45
2018-11,48
2018-12,44
2019-01,48
2019-02,54
2019-03,58
2019-04,61
2019-05,52
2019-06,43
2019-07,44
2019-08,49
2019-09,62
2019-10,56
2019-11,68
2019-12,61
2020-01,66
2020-02,56
2020-03,39
2020-04,34
2020-05,52
2020-06,57
2020-07,56
2020-08,55
2020-09,61
2020-10,58
2020-11,59
2020-12,59
2021-01,59
2021-02,81
2021-03,79
2021-04,85
2021-05,89
2021-06,76
2021-07,80
2021-08,90
2021-09,90
2021-10,91
2021-11,91
2021-12,80
2022-01,95
2022-02,79
2022-03,100
2022-04,82
2022-05,74
2022-06,89
2022-07,79
2022-08,74
2022-09,65
2022-10,61
2022-11,69
2022-12,56
