Category: All categories

Month,elektrofahrzeug: (Switzerland)
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,77
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,30
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,50
2006-10,0
2006-11,0
2006-12,28
2007-01,0
2007-02,100
2007-03,19
2007-04,27
2007-05,0
2007-06,28
2007-07,23
2007-08,36
2007-09,0
2007-10,0
2007-11,16
2007-12,47
2008-01,0
2008-02,0
2008-03,27
2008-04,13
2008-05,0
2008-06,0
2008-07,18
2008-08,74
2008-09,0
2008-10,0
2008-11,11
2008-12,0
2009-01,0
2009-02,0
2009-03,11
2009-04,42
2009-05,0
2009-06,30
2009-07,0
2009-08,20
2009-09,0
2009-10,26
2009-11,0
2009-12,27
2010-01,0
2010-02,0
2010-03,0
2010-04,20
2010-05,0
2010-06,11
2010-07,40
2010-08,0
2010-09,0
2010-10,14
2010-11,17
2010-12,21
2011-01,0
2011-02,0
2011-03,20
2011-04,15
2011-05,29
2011-06,23
2011-07,0
2011-08,11
2011-09,0
2011-10,13
2011-11,0
2011-12,6
2012-01,24
2012-02,0
2012-03,0
2012-04,7
2012-05,17
2012-06,13
2012-07,15
2012-08,0
2012-09,5
2012-10,18
2012-11,16
2012-12,12
2013-01,0
2013-02,7
2013-03,0
2013-04,18
2013-05,6
2013-06,13
2013-07,0
2013-08,0
2013-09,16
2013-10,25
2013-11,0
2013-12,7
2014-01,6
2014-02,0
2014-03,7
2014-04,13
2014-05,21
2014-06,13
2014-07,6
2014-08,7
2014-09,0
2014-10,18
2014-11,10
2014-12,6
2015-01,5
2015-02,14
2015-03,18
2015-04,0
2015-05,10
2015-06,0
2015-07,5
2015-08,16
2015-09,19
2015-10,6
2015-11,7
2015-12,22
2016-01,12
2016-02,17
2016-03,8
2016-04,0
2016-05,15
2016-06,0
2016-07,14
2016-08,19
2016-09,15
2016-10,21
2016-11,17
2016-12,8
2017-01,8
2017-02,10
2017-03,22
2017-04,6
2017-05,16
2017-06,6
2017-07,18
2017-08,29
2017-09,4
2017-10,13
2017-11,11
2017-12,16
2018-01,7
2018-02,19
2018-03,18
2018-04,11
2018-05,7
2018-06,14
2018-07,12
2018-08,0
2018-09,9
2018-10,15
2018-11,20
2018-12,21
2019-01,12
2019-02,18
2019-03,14
2019-04,14
2019-05,16
2019-06,11
2019-07,8
2019-08,17
2019-09,18
2019-10,15
2019-11,12
2019-12,8
2020-01,17
2020-02,24
2020-03,10
2020-04,16
2020-05,16
2020-06,19
2020-07,29
2020-08,21
2020-09,23
2020-10,10
2020-11,14
2020-12,4
2021-01,14
2021-02,27
2021-03,19
2021-04,20
2021-05,13
2021-06,15
2021-07,26
2021-08,22
2021-09,27
2021-10,24
2021-11,41
2021-12,13
2022-01,11
2022-02,26
2022-03,24
2022-04,16
2022-05,4
2022-06,9
2022-07,12
2022-08,18
2022-09,14
2022-10,9
2022-11,19
2022-12,8
