Category: All categories

Month,electric car: (Switzerland)
2005-01,100
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,31
2005-08,0
2005-09,36
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,24
2006-09,0
2006-10,23
2006-11,31
2006-12,32
2007-01,13
2007-02,23
2007-03,27
2007-04,14
2007-05,13
2007-06,53
2007-07,0
2007-08,12
2007-09,23
2007-10,19
2007-11,11
2007-12,24
2008-01,24
2008-02,0
2008-03,14
2008-04,0
2008-05,36
2008-06,43
2008-07,44
2008-08,14
2008-09,43
2008-10,36
2008-11,33
2008-12,23
2009-01,14
2009-02,16
2009-03,32
2009-04,20
2009-05,33
2009-06,27
2009-07,7
2009-08,16
2009-09,29
2009-10,12
2009-11,14
2009-12,7
2010-01,18
2010-02,31
2010-03,20
2010-04,0
2010-05,19
2010-06,14
2010-07,16
2010-08,12
2010-09,17
2010-10,17
2010-11,17
2010-12,39
2011-01,23
2011-02,17
2011-03,16
2011-04,15
2011-05,0
2011-06,13
2011-07,6
2011-08,13
2011-09,26
2011-10,21
2011-11,14
2011-12,14
2012-01,10
2012-02,12
2012-03,12
2012-04,5
2012-05,18
2012-06,25
2012-07,21
2012-08,16
2012-09,22
2012-10,19
2012-11,17
2012-12,9
2013-01,0
2013-02,6
2013-03,15
2013-04,12
2013-05,11
2013-06,10
2013-07,14
2013-08,18
2013-09,26
2013-10,8
2013-11,21
2013-12,28
2014-01,22
2014-02,18
2014-03,13
2014-04,19
2014-05,17
2014-06,18
2014-07,10
2014-08,19
2014-09,16
2014-10,20
2014-11,23
2014-12,21
2015-01,12
2015-02,14
2015-03,9
2015-04,31
2015-05,22
2015-06,7
2015-07,19
2015-08,20
2015-09,27
2015-10,27
2015-11,27
2015-12,11
2016-01,17
2016-02,25
2016-03,19
2016-04,21
2016-05,13
2016-06,22
2016-07,20
2016-08,27
2016-09,27
2016-10,18
2016-11,18
2016-12,23
2017-01,27
2017-02,18
2017-03,27
2017-04,28
2017-05,21
2017-06,28
2017-07,35
2017-08,35
2017-09,35
2017-10,32
2017-11,25
2017-12,28
2018-01,35
2018-02,35
2018-03,36
2018-04,26
2018-05,33
2018-06,29
2018-07,29
2018-08,37
2018-09,28
2018-10,40
2018-11,39
2018-12,28
2019-01,33
2019-02,30
2019-03,36
2019-04,33
2019-05,38
2019-06,42
2019-07,41
2019-08,30
2019-09,42
2019-10,35
2019-11,53
2019-12,38
2020-01,45
2020-02,38
2020-03,37
2020-04,25
2020-05,31
2020-06,39
2020-07,33
2020-08,36
2020-09,37
2020-10,37
2020-11,39
2020-12,45
2021-01,46
2021-02,53
2021-03,50
2021-04,44
2021-05,42
2021-06,44
2021-07,62
2021-08,39
2021-09,52
2021-10,53
2021-11,54
2021-12,37
2022-01,51
2022-02,61
2022-03,67
2022-04,79
2022-05,67
2022-06,80
2022-07,63
2022-08,69
2022-09,68
2022-10,52
2022-11,56
2022-12,52
