Category: All categories

Month,véhicule électrique: (Switzerland)
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,100
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,96
2005-12,0
2006-01,0
2006-02,99
2006-03,0
2006-04,40
2006-05,0
2006-06,61
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,26
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,27
2008-07,0
2008-08,62
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,45
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,19
2009-12,0
2010-01,12
2010-02,0
2010-03,61
2010-04,0
2010-05,0
2010-06,0
2010-07,16
2010-08,0
2010-09,21
2010-10,0
2010-11,14
2010-12,0
2011-01,0
2011-02,0
2011-03,11
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,20
2011-12,0
2012-01,0
2012-02,0
2012-03,8
2012-04,9
2012-05,0
2012-06,11
2012-07,0
2012-08,0
2012-09,11
2012-10,9
2012-11,0
2012-12,6
2013-01,0
2013-02,0
2013-03,12
2013-04,8
2013-05,11
2013-06,0
2013-07,9
2013-08,11
2013-09,0
2013-10,0
2013-11,10
2013-12,0
2014-01,0
2014-02,14
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,19
2014-10,0
2014-11,0
2014-12,0
2015-01,14
2015-02,7
2015-03,9
2015-04,14
2015-05,10
2015-06,6
2015-07,25
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,10
2016-02,0
2016-03,0
2016-04,0
2016-05,15
2016-06,8
2016-07,7
2016-08,13
2016-09,0
2016-10,0
2016-11,0
2016-12,9
2017-01,8
2017-02,0
2017-03,0
2017-04,11
2017-05,17
2017-06,19
2017-07,7
2017-08,33
2017-09,18
2017-10,12
2017-11,18
2017-12,0
2018-01,0
2018-02,0
2018-03,6
2018-04,7
2018-05,5
2018-06,0
2018-07,12
2018-08,7
2018-09,6
2018-10,6
2018-11,10
2018-12,8
2019-01,11
2019-02,0
2019-03,6
2019-04,10
2019-05,10
2019-06,0
2019-07,15
2019-08,11
2019-09,19
2019-10,12
2019-11,16
2019-12,0
2020-01,15
2020-02,29
2020-03,6
2020-04,7
2020-05,4
2020-06,15
2020-07,24
2020-08,0
2020-09,15
2020-10,12
2020-11,9
2020-12,0
2021-01,12
2021-02,29
2021-03,20
2021-04,19
2021-05,10
2021-06,13
2021-07,11
2021-08,14
2021-09,0
2021-10,10
2021-11,0
2021-12,13
2022-01,12
2022-02,24
2022-03,22
2022-04,15
2022-05,20
2022-06,19
2022-07,28
2022-08,7
2022-09,12
2022-10,9
2022-11,11
2022-12,16
