Category: All categories

Month,voiture électrique: (Switzerland)
2005-01,0
2005-02,36
2005-03,0
2005-04,0
2005-05,26
2005-06,31
2005-07,0
2005-08,43
2005-09,0
2005-10,18
2005-11,0
2005-12,30
2006-01,24
2006-02,16
2006-03,0
2006-04,32
2006-05,0
2006-06,0
2006-07,17
2006-08,0
2006-09,0
2006-10,0
2006-11,13
2006-12,25
2007-01,0
2007-02,16
2007-03,0
2007-04,0
2007-05,14
2007-06,13
2007-07,0
2007-08,0
2007-09,15
2007-10,0
2007-11,17
2007-12,0
2008-01,7
2008-02,28
2008-03,11
2008-04,0
2008-05,13
2008-06,10
2008-07,11
2008-08,0
2008-09,31
2008-10,20
2008-11,0
2008-12,26
2009-01,10
2009-02,14
2009-03,12
2009-04,0
2009-05,11
2009-06,19
2009-07,8
2009-08,11
2009-09,20
2009-10,0
2009-11,0
2009-12,0
2010-01,11
2010-02,19
2010-03,0
2010-04,0
2010-05,12
2010-06,0
2010-07,0
2010-08,14
2010-09,14
2010-10,7
2010-11,30
2010-12,7
2011-01,0
2011-02,7
2011-03,13
2011-04,4
2011-05,9
2011-06,0
2011-07,4
2011-08,7
2011-09,14
2011-10,8
2011-11,6
2011-12,9
2012-01,14
2012-02,7
2012-03,21
2012-04,10
2012-05,5
2012-06,9
2012-07,0
2012-08,6
2012-09,9
2012-10,8
2012-11,18
2012-12,11
2013-01,7
2013-02,12
2013-03,14
2013-04,4
2013-05,8
2013-06,6
2013-07,3
2013-08,10
2013-09,7
2013-10,8
2013-11,4
2013-12,7
2014-01,8
2014-02,9
2014-03,12
2014-04,5
2014-05,7
2014-06,12
2014-07,11
2014-08,10
2014-09,7
2014-10,13
2014-11,11
2014-12,7
2015-01,3
2015-02,11
2015-03,10
2015-04,11
2015-05,13
2015-06,11
2015-07,9
2015-08,5
2015-09,11
2015-10,4
2015-11,12
2015-12,16
2016-01,7
2016-02,8
2016-03,16
2016-04,11
2016-05,2
2016-06,10
2016-07,8
2016-08,13
2016-09,7
2016-10,13
2016-11,17
2016-12,14
2017-01,6
2017-02,6
2017-03,13
2017-04,11
2017-05,8
2017-06,8
2017-07,19
2017-08,9
2017-09,15
2017-10,16
2017-11,15
2017-12,11
2018-01,17
2018-02,18
2018-03,14
2018-04,12
2018-05,20
2018-06,23
2018-07,18
2018-08,4
2018-09,20
2018-10,21
2018-11,18
2018-12,17
2019-01,20
2019-02,25
2019-03,23
2019-04,19
2019-05,22
2019-06,22
2019-07,25
2019-08,24
2019-09,19
2019-10,21
2019-11,33
2019-12,29
2020-01,36
2020-02,37
2020-03,17
2020-04,19
2020-05,26
2020-06,26
2020-07,32
2020-08,32
2020-09,30
2020-10,34
2020-11,42
2020-12,36
2021-01,46
2021-02,47
2021-03,49
2021-04,47
2021-05,46
2021-06,49
2021-07,56
2021-08,55
2021-09,56
2021-10,55
2021-11,57
2021-12,56
2022-01,60
2022-02,66
2022-03,100
2022-04,76
2022-05,57
2022-06,75
2022-07,59
2022-08,66
2022-09,50
2022-10,54
2022-11,61
2022-12,43
